Roll_Rate_x	Pitch_Rate_y	Yaw_Rate_z	Latitude	Longitude	Altidude	Barometric_Pressure	a_x	a_y	a_z	Heading	v_x	v_y	v_z	Status	PosU	VelU	PITCH	ROLL	YAW
-0.001	0.0	0.0	0.0	0.0	0.0	-0.0027968	0.068	0.016	-9.316	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.64
0.0	0.0	0.0	0.0	0.0	0.0	0.0026496	0.059000000000000004	0.027	-9.343	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.64
0.001	0.0	0.001	0.0	0.0	0.0	0.0026496	0.053	0.015	-9.304	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.64
0.0	0.001	0.0	0.0	0.0	0.0	0.0020992	0.059000000000000004	-0.022	-9.311	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.64
0.0	0.001	0.0	0.0	0.0	0.0	0.0026496	0.045	0.01	-9.319	-1.27	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.64
0.0	0.0	0.001	0.0	0.0	0.0	0.0026496	0.06	0.002	-9.32	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.64
0.0	-0.001	0.0	0.0	0.0	0.0	0.0026496	0.067	0.001	-9.297	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.64
0.0	-0.001	0.0	0.0	0.0	0.0	-0.0012416	0.05	0.004	-9.331	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.64
-0.001	0.0	0.0	0.0	0.0	0.0	0.0026496	0.044	0.017	-9.349	-1.23	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.64
0.0	0.0	0.0	0.0	0.0	0.0	-0.0013503999999999999	0.065	0.022	-9.31	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.64
0.0	0.0	0.0	0.0	0.0	0.0	0.0025407999999999997	0.088	0.006	-9.328	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.65
0.0	0.0	0.001	0.0	0.0	0.0	0.0026496	0.05	0.026000000000000002	-9.336	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.65
0.0	-0.001	0.0	0.0	0.0	0.0	0.0026496	0.063	0.01	-9.301	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.65
0.0	0.0	0.0	0.0	0.0	0.0	0.0026496	0.07	-0.004	-9.309000000000001	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.65
0.0	0.0	0.0	0.0	0.0	0.0	-0.0013503999999999999	0.057	0.008	-9.36	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.65
0.0	0.0	0.0	0.0	0.0	0.0	0.0032064	0.074	0.01	-9.295	-1.27	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.65
0.0	0.001	0.0	0.0	0.0	0.0	0.0026496	0.084	0.016	-9.307	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.65
0.0	0.0	0.001	0.0	0.0	0.0	0.0026496	0.064	0.012	-9.339	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.65
0.001	0.0	0.0	0.0	0.0	0.0	0.0007551999999999999	0.063	0.034	-9.31	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.65
0.0	0.001	0.0	0.0	0.0	0.0	0.0026496	0.059000000000000004	0.017	-9.306000000000001	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.65
0.0	0.001	0.0	0.0	0.0	0.0	0.0007551999999999999	0.07100000000000001	-0.001	-9.332	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.65
0.0	0.0	0.0	0.0	0.0	0.0	0.0032064	0.078	0.005	-9.337	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.65
0.0	0.0	0.0	0.0	0.0	0.0	-0.0007999999999999999	0.063	0.006	-9.289	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.65
0.0	0.001	0.0	0.0	0.0	0.0	-0.0013503999999999999	0.091	-0.004	-9.308	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.66
0.0	0.0	0.0	0.0	0.0	0.0	0.0026496	0.06	0.009000000000000001	-9.279	-1.27	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.66
0.0	0.0	0.0	0.0	0.0	0.0	0.0032064	0.057	0.009000000000000001	-9.309000000000001	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.66
0.0	0.0	0.0	0.0	0.0	0.0	-0.0027968	0.065	-0.008	-9.312	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.66
0.0	0.0	0.0	0.0	0.0	0.0	0.0026496	0.062	0.004	-9.317	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.66
0.0	0.0	0.0	0.0	0.0	0.0	-0.0027968	0.056	-0.014	-9.331	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.66
-0.001	0.0	0.0	0.0	0.0	0.0	0.000544	0.035	0.006	-9.345	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.66
